variant,to,d_pos,d_neg,OAAS1,OAAS2,OAAS3,se_mean,se_std,se_p95,flatness_mean,flatness_std,flatness_p95,te_rms,mse_env,harm_ratio
NEG_033,NEG,16.169309895166478,16.11026138324451,-0.4352255705629368,-0.049966484454021055,-16.020695903466812,6.444704999883023,0.2916356347513779,6.93535304069519,0.040320268618353465,0.03850697200281253,0.11397558078169823,3.992903812988655,1.2639213389207928,0.9269646358069085
NEG_014,NEG,16.336530050995965,16.270999542634954,4.469475268674176,-0.642366863765761,-15.026728778204403,6.735777653030683,0.27959849443268114,7.129472136497498,0.1378801537196258,0.040335803380093335,0.17813166603446007,4.140405067785856,1.3109663967383411,0.8955631601028016
NEG_009,NEG,18.60574246102979,18.53924844730048,10.369606384387685,-1.4494995025342383,-14.014189153852168,7.257679116458941,0.3027641271385055,7.69085168838501,0.24256235151328187,0.05007433033322455,0.3075602427124977,4.469411353406857,1.2839870286330506,0.9116132533072249
NEG_030,NEG,19.618908215875837,19.554116676319786,12.10142335682468,-1.5855086549384003,-13.788678142612957,7.4179432167517,0.29653160571993376,7.837348699569702,0.2749405795800338,0.05154368639455003,0.3430997207760811,4.475648246371103,1.3140031965408019,0.9011757932999526
NEG_000,NEG,19.71434592322811,19.649665978787795,12.144139804411108,-1.5761213870555597,-13.882457436530695,7.429550819196948,0.29639187342970125,7.853080868721008,0.2760694029277811,0.05189490419418597,0.343351848423481,4.406939770436901,1.3317960509953444,0.9058063109532131
NEG_037,NEG,22.013791631959435,21.9513473087811,15.626457263653418,-2.0335298439102445,-13.372619349113732,7.742464321260558,0.3106175592806314,8.205967426300049,0.3384595447737383,0.05653582384310173,0.41969215869903564,4.530918123459104,1.2617765043196547,0.9149445664157577
NEG_021,NEG,22.362588570917673,22.300504365852692,16.208730056772893,-2.1292593636952453,-13.170489072629964,7.873831701583808,0.36406647613178517,8.442466735839844,0.3421766333205184,0.06449586297006195,0.43743444234132767,4.7487589489025215,1.2371221902099114,0.9249201907141794
NEG_001,NEG,22.554494984330233,22.49378383421263,16.552194744924503,-2.042516647642833,-13.044021011767333,7.825970497582249,0.28758053538919104,8.237958908081055,0.3576084552494987,0.054345291200821676,0.4327714294195175,4.619663230285391,1.3164677595401844,0.8890251727330526
NEG_003,NEG,22.718630102386026,22.656525248327593,16.584245265939344,-2.2014284408431486,-13.251660636849625,7.834419818777144,0.34100522055655247,8.351304769515991,0.35318574832982114,0.06083358206521583,0.4434446692466736,4.601218727538548,1.2740891307927313,0.9302038792522589
NEG_006,NEG,23.11101174000863,23.05010414643043,17.068278398955428,-2.1479266888790773,-13.265877528662811,7.871591316522164,0.31211142529125513,8.333264589309692,0.36582551514640466,0.05708577528386299,0.4496746361255646,4.475516096530357,1.3136607146152774,0.9143967168018543
NEG_013,NEG,23.952238692545386,23.892534720676295,18.59441632197211,-2.4115321980027766,-12.449727671355811,8.143533999751227,0.38265840521720446,8.730464458465576,0.3822392046562811,0.06945129960237846,0.48637334257364273,5.109524029790433,1.1571302362637959,0.9105469377766832
NEG_012,NEG,24.185926334712946,24.1257492543279,18.537946543084455,-2.392703173825108,-12.981486464582364,8.049747790046066,0.35599762667788143,8.605084657669067,0.386813102174157,0.06577091426497032,0.4851967841386795,4.677348644572879,1.2256004392323983,0.9248910268914593
NEG_027,NEG,24.765628673047352,24.706026510558445,19.257066374841788,-2.4744210820196684,-12.920708506938883,8.08221263712596,0.33856335134011717,8.597675323486328,0.40290374900792103,0.06301599701200267,0.4979526922106743,4.613839792491367,1.2281476492156476,0.9242755973047019
NEG_025,NEG,24.770139272063354,24.710618930610273,19.37511109776992,-2.514284933501976,-12.72953912837076,8.124254664364464,0.35490371111316066,8.677436351776123,0.40162108330287166,0.06657921589694882,0.5030216425657272,4.793873354506979,1.2146460358208884,0.9233300535457322
NEG_029,NEG,25.902290912962442,25.844097970245638,20.850321321158436,-2.685944873804858,-12.423339232494433,8.279363762726362,0.36233874707316915,8.837697267532349,0.42745840955767983,0.06903119874341682,0.5340245962142944,4.910571367078967,1.1938284963280774,0.9214176825904935
NEG_028,NEG,26.97391660905273,26.91700213725051,22.17211362046851,-2.812127809623827,-12.211105388830077,8.384409753360064,0.3512187841648074,8.915654182434082,0.45368268627672065,0.06860602807366496,0.5561498552560806,4.915015989974566,1.2093828663828547,0.9147494349059022
NEG_018,NEG,27.21418775968702,27.15738279854138,22.3967785932423,-2.828494178112651,-12.299067550961418,8.385557587952789,0.3402953792432055,8.912194967269897,0.4597746468616939,0.06676729108007627,0.560254767537117,4.808054846704205,1.241082132768496,0.9207397568439349
NEG_007,NEG,29.336076770042553,29.28161963309066,25.11001819379139,-3.176916414871892,-11.463478878397721,8.651080076354617,0.3386153599711354,9.145576477050781,0.5087266604098568,0.06876256691088779,0.6106065511703491,5.170701284330447,1.1596275804033607,0.9055687400742031
