file,se_mean,se_std,se_p95,flatness_mean,flatness_std,flatness_p95,te_rms,mse_env,harm_ratio,domain,OAAS1,OAAS2,OAAS3
W2_06.wav,2.99813192504836,1.1107726368881148,4.239811319362598,0.0029769895834715,0.0206514578135811,1.517117518345514e-05,14.68788496289194,7.929553840081343,0.3940742293189722,music,-0.3127923944003612,-1.5852189185404453,0.52690774265012
W2_07.wav,3.519248938769162,0.8481158899153827,4.588796294968735,0.0009810110900959,0.0096772475462393,0.0003185892292696,14.603584509205811,8.100373213942039,0.295405382390777,music,-0.7085055580404035,-0.6062736230167382,0.5913361004655153
W3_01.wav,3.4589421091985124,0.9138476042978614,4.698599468803328,0.0005240613918497,0.0073325497796635,0.0001387482559844,14.100841778430356,7.764932842417341,0.3222128659570874,music,-0.8033387393291499,-0.6403811691533136,-0.1593848456902387
W3_02.wav,3.099201492890108,0.6796812926305194,4.112408266094039,0.0001332257126984,0.0010475383194863,0.0001820383776494,14.525147306792652,8.91780745494415,0.2931171564411103,music,-1.3025365816949095,-0.589676287494638,0.6434697846277757
W3_03.wav,2.8914232124775565,1.000344506922198,4.248735973485309,0.0021165938421549,0.013320645840477,0.004605319834836,15.006206337846953,7.920731855171255,0.2838957528019916,music,-0.4634530331702701,-1.273324040754759,1.1321401786169232
W3_04.wav,3.6686149944968793,0.7010315905448921,4.476768384380154,0.0020338805546247,0.0124894422456716,0.0038249894619396,13.9830302524854,8.020393288010355,0.4216864013515476,music,-0.9843388415244684,-0.8774035583197483,-0.4584261739162106
W3_05.wav,3.865375050961643,1.124231187834984,4.941241644590996,0.0050860963280798,0.0251398498384601,0.0093049400526435,13.11627627803436,7.848256964830634,0.2234493089482805,music,-0.1635679048250887,0.2168373706419207,-1.5717503166116769
W3_06.wav,3.0789610293765035,0.9589568164035192,4.1623732803734255,0.002035378850536,0.0164969848881312,1.0504196719723203e-05,14.709024960594656,7.839142209580999,0.4836970875719608,music,-0.6196028895434451,-1.8924368275484795,0.4751291112525701
W3_07.wav,3.412374182063917,0.7687580693981653,4.393920752757755,0.0011267193544059,0.0162202352448038,1.2275782675832889e-05,14.152582238146664,7.753989677272983,0.6303346443277834,music,-0.968108949569936,-2.026231713886353,-0.5018863344362862
W4_01.wav,3.557175861177174,0.9057889001835748,4.974690695874003,0.0001313125657097,0.0004695472409769,0.0003754355744158,14.203482650889493,8.044787414726114,0.2530500932570647,music,-0.8037534316209027,-0.1290502014635611,0.1416404997142027
