file,domain,domain_canon,OAAS1,OAAS2,OAAS3,d_pos_euclid,d_neg_euclid
W3_03.wav,music,music,-0.4634530331702701,-1.273324040754759,1.1321401786169232,3.7140488392904936,3.8810141440841295
W3_04.wav,music,music,-0.9843388415244684,-0.8774035583197483,-0.4584261739162106,3.2810109175202515,3.507239660978419
W3_05.wav,music,music,-0.1635679048250887,0.2168373706419207,-1.5717503166116769,2.7309443927479546,2.743165299447244
W3_06.wav,music,music,-0.6196028895434451,-1.8924368275484795,0.4751291112525701,4.215622728701253,4.384951493919497
W3_07.wav,music,music,-0.968108949569936,-2.026231713886353,-0.5018863344362862,4.409679489456625,4.601667306524473
W4_01.wav,music,music,-0.8037534316209027,-0.1290502014635611,0.1416404997142027,2.4575004483171154,2.705471704452987
W4_02.wav,music,music,-1.320526282743118,-0.5611960931601331,0.6394307513890143,3.0260481880031587,3.3573874458359554
W4_03.wav,music,music,-1.289235236184213,-0.4053410624885935,-0.0390592705250352,2.8345869848687784,3.15380399939325
W4_04.wav,music,music,-0.0225159753839707,-0.6016116350690116,-0.762103047825078,3.087072826954953,3.1204851484113174
W4_05.wav,music,music,0.0135347625511813,0.0928550803814571,-0.0895012506068431,2.286435719340867,2.321010916551242
W4_06.wav,music,music,-0.3127923944003612,-1.5852189185404453,0.52690774265012,3.9163881415931976,4.044422513816823
W4_07.wav,music,music,-0.7085055580404035,-0.6062736230167382,0.5913361004655153,2.955854439039559,3.174655619986536
W5_01.wav,music,music,-0.8033387393291499,-0.6403811691533136,-0.1593848456902387,2.981714707116326,3.195389941099669
W5_02.wav,music,music,-1.3025365816949095,-0.589676287494638,0.6434697846277757,3.0489066434267293,3.375578067769377
W5_03.wav,music,music,-0.4634530331702701,-1.273324040754759,1.1321401786169232,3.7140488392904936,3.8810141440841295
W5_04.wav,music,music,-0.9843388415244684,-0.8774035583197483,-0.4584261739162106,3.2810109175202515,3.507239660978419
W5_05.wav,music,music,-0.1635679048250887,0.2168373706419207,-1.5717503166116769,2.7309443927479546,2.743165299447244
W5_06.wav,music,music,-0.6196028895434451,-1.8924368275484795,0.4751291112525701,4.215622728701253,4.384951493919497
W5_07.wav,music,music,-0.968108949569936,-2.026231713886353,-0.5018863344362862,4.409679489456625,4.601667306524473
W6_01.wav,music,music,7.277017284417674,-0.6294403762311236,-1.8754832291987749,8.552576577698296,7.995022788355492
W6_02.wav,music,music,-1.386751458638167,-0.1064284185160125,-0.1440604965374754,2.5917502599935816,2.945015349670025
W6_03.wav,music,music,7.617793442096421,-1.1090519717088372,-1.920560092709888,9.04394952071248,8.498283782666261
W6_04.wav,music,music,-1.482433907925715,-0.9538487605783312,-0.4433888237194514,3.4605840746010585,3.7627501113719606
W6_05.wav,music,music,0.4675865255883913,-1.2495465712761242,-0.5988446839180059,3.7620296215720934,3.728193366686886
W6_06.wav,music,music,-0.3885974671064289,-1.479600900163366,1.0212453999887807,3.888419458488493,4.0387677515297815
W6_07.wav,music,music,-0.899469337447385,-0.9705398166670112,0.6696546169451779,3.3446385453795187,3.585448254781544
W7_01.wav,music,music,-0.7274312719607853,-0.5314779488856917,0.8126145036749107,2.925474991769354,3.1547920333607897
W7_02.wav,music,music,1.5825960757605202,-0.7554031444199829,-0.0042033345381354,3.705440915794426,3.4770058247762963
W7_03.wav,music,music,-1.1417109116876345,-1.9316012238768925,-0.6432030174694235,4.362682939409402,4.575598055916739
W7_04.wav,music,music,-0.7825117616195572,-1.9332218597752429,0.322457762501717,4.255313278963358,4.443831222403743
W7_05.wav,music,music,0.5256172629910854,-1.1437019224060527,0.8200735166472749,3.6617330218772994,3.652461193113087
W7_06.wav,music,music,-0.5072876450607992,-1.1108556925972042,0.8298725243644237,3.4863416135072463,3.658813324212417
W7_07.wav,music,music,1.915285260665352,-2.674754383630324,-1.5536603353499985,5.792688477177999,5.618040688559321
W8_01.wav,music,music,-0.899469337447385,-0.9705398166670112,0.6696546169451779,3.3446385453795187,3.585448254781544
W8_02.wav,music,music,7.277017284417674,-0.6294403762311236,-1.8754832291987749,8.552576577698296,7.995022788355492
W8_03.wav,music,music,-1.386751458638167,-0.1064284185160125,-0.1440604965374754,2.5917502599935816,2.945015349670025
W8_04.wav,music,music,7.617793442096421,-1.1090519717088372,-1.920560092709888,9.04394952071248,8.498283782666261
W8_05.wav,music,music,-1.482433907925715,-0.9538487605783312,-0.4433888237194514,3.4605840746010585,3.7627501113719606
W8_06.wav,music,music,0.4675865255883913,-1.2495465712761242,-0.5988446839180059,3.7620296215720934,3.728193366686886
W8_08.wav,music,music,-0.3885974671064289,-1.479600900163366,1.0212453999887807,3.888419458488493,4.0387677515297815
W9_01.wav,music,music,-0.8033387393291499,-0.6403811691533136,-0.1593848456902387,2.981714707116326,3.195389941099669
W9_02.wav,music,music,-1.3025365816949095,-0.589676287494638,0.6434697846277757,3.0489066434267293,3.375578067769377
W9_03.wav,music,music,-0.4634530331702701,-1.273324040754759,1.1321401786169232,3.7140488392904936,3.8810141440841295
W9_04.wav,music,music,-0.9843388415244684,-0.8774035583197483,-0.4584261739162106,3.2810109175202515,3.507239660978419
W9_05.wav,music,music,-0.1635679048250887,0.2168373706419207,-1.5717503166116769,2.7309443927479546,2.743165299447244
W9_06.wav,music,music,-0.6196028895434451,-1.8924368275484795,0.4751291112525701,4.215622728701253,4.384951493919497
W9_07.wav,music,music,-0.968108949569936,-2.026231713886353,-0.5018863344362862,4.409679489456625,4.601667306524473
W10_01.wav,music,music,-0.5954207642815079,-1.4797441140409884,0.4604206426898302,3.802538900397483,3.9751632589198
